"ProjectID","Date","Country","Project Title","Sector","Public/Private","Status","CostRONm","CostTLm","CostPLNm","CostRUBm","CostUSDm","CostEURm","Cost","URL","CostCurrEURm"
"42202",2011-03-21,"Regional","Graanul Invest","Power and energy","Private","S",NA,NA,NA,NA,NA,43,"€43 million.","http://www.ebrd.com/english/pages/project/psd/2011/42202.shtml",45.1947359061
"42219",2011-05-24,"Croatia","Ombla HPP","Power and energy","Public","Cn",NA,NA,NA,NA,NA,152.4,"€152.4 million.","http://www.ebrd.com/english/pages/project/psd/2011/42219.shtml",159.272148541114
"42240",2010-12-13,"Poland","Patnow II refinancing - Konin Biomass","Power and energy","Private","S",NA,NA,NA,NA,NA,80,"Project cost not found","http://www.ebrd.com/english/pages/project/psd/2010/42240.shtml",84.9672028034864
"42243",2012-02-08,"Romania","Vimetco Power","Power and energy","Private","Cn",NA,NA,NA,NA,NA,276,"The project’s costs are estimated to amount to €276 million.","http://www.ebrd.com/english/pages/project/psd/2012/42243.shtml",286.193525747873
"42249",2010-12-23,"Georgia","Paravani HPP Equity","Power and energy","Private","S",NA,NA,NA,NA,160,121.87783270744,"Anticipated to be up to approximately US$ 160 million.","http://www.ebrd.com/english/pages/project/psd/2010/42249.shtml",129.445231922006
"42363",2013-07-08,"Romania","Smardan Wind","Power and energy","Private","",NA,NA,NA,NA,NA,84.2,"EUR 84.2 million.","http://www.ebrd.com/english/pages/project/psd/2013/42363.shtml",85.0708607573297
"42421",2011-09-06,"Serbia","EPS Hydropower Plants","Power and energy","Public","S",NA,NA,NA,NA,NA,54,"€54 million.","http://www.ebrd.com/english/pages/project/psd/2011/42421.shtml",56.2460345435319
"42768",2012-02-24,"Montenegro","Montenegro: Lastva - Pljevlja Transmission Line","Power and energy","Public","S",NA,NA,NA,NA,NA,105,"€105 million.","http://www.ebrd.com/english/pages/project/psd/2012/42768.shtml",108.877971751908
"42801",2012-03-30,"Georgia","MCFF- Bank Republic - Rusmetali","Power and energy","Private","Cn",NA,NA,NA,NA,18,13.5233616071764,"Anticipated to be up to approximately US$ 18 million.","http://www.ebrd.com/english/pages/project/psd/2012/42801.shtml",13.8430881475708
"42841",2012-10-16,"Romania","Crucea I","Power and energy","Private","",NA,NA,NA,NA,NA,69.8,"The total project cost is approximately EUR 69.8 million.","http://www.ebrd.com/english/pages/project/psd/2012/42841.shtml",70.691114728815
"42856",2012-01-17,"Moldova","Moldelectrica Transmission Rehabilitation Loan","Power and energy","Public","S",NA,NA,NA,NA,52,41.0599791541644,"US$ 52 million.","http://www.ebrd.com/english/pages/project/psd/2012/42856.shtml",42.7866483099709
"42896",2011-10-06,"Turkey","Kirikkale CCGT","Power and energy","Private","S",NA,NA,NA,NA,1000,753.017718506916,"US$ 1.0 billion. ","http://www.ebrd.com/english/pages/project/psd/2011/42896.shtml",781.583196222339
"42978",2011-09-23,"Turkey","Bares Windfarm","Power and energy","Private","S",NA,NA,NA,NA,NA,230,"EUR 230 million.","http://www.ebrd.com/english/pages/project/psd/2011/42978.shtml",239.566443426154
"42988",2012-02-08,"Ukraine","Novoazovskiy Wind Project","Power and energy","Private","S",NA,NA,NA,NA,NA,95.2,"Up to EUR 95.2 million.","http://www.ebrd.com/english/pages/project/psd/2012/42988.shtml",98.71602772173
"42996",2011-07-07,"Russia","FGC Bond Issue","Power and energy","Public","S",NA,NA,NA,125000,NA,3106.93318353773,"Total size of the 2011 bond issuing program - RUB 125 billion.","http://www.ebrd.com/english/pages/project/psd/2011/42996.shtml",3266.38354841946
